Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
840,4.775,26,0
1102,4.7441016333938295,4,0
595,4.381512605042017,0,0
891,4.656565656565657,11,0
896,4.422991071428571,22,4
506,4.691699604743083,9,0
1477,4.361543669600541,32,0
605,4.6115702479338845,18,0
559,4.5134168157423975,17,0
1207,4.111019055509527,42,0
3973,4.504656430908633,402,6
608,4.416118421052632,10,0
444,4.583333333333333,34,0
588,4.557823129251701,11,0
630,4.73968253968254,2,0
735,4.745578231292517,55,0
412,5.216019417475728,7,0
1058,4.258034026465029,30,0
1380,4.489130434782608,448,0
346,4.72543352601156,10,0
1906,4.903462749213012,228,0
386,4.873056994818653,7,0
1064,4.2218045112781954,29,0
688,4.8226744186046515,43,0
917,4.540894220283533,39,0
164,4.737804878048781,23,0
800,4.8125,31,0
1082,4.579482439926063,55,0
940,4.6861702127659575,59,0
1057,4.338694418164617,46,0
840,4.6380952380952385,16,0
426,4.833333333333333,25,0
746,4.592493297587131,12,0
417,4.45083932853717,17,6
406,4.75615763546798,10,0
1546,4.357697283311772,88,2
1318,5.039453717754173,89,0
687,4.432314410480349,31,0
965,4.550259067357513,10,0
317,4.55205047318612,28,0
1478,4.793640054127199,107,0
607,4.967051070840197,63,0
1118,4.568872987477639,36,0
414,4.823671497584541,25,0
551,4.638838475499092,10,0
379,4.978891820580475,52,0
2552,4.834247648902822,266,0
1587,4.750472589792061,118,0
720,4.3375,13,0
534,4.709737827715355,65,0
287,4.993031358885017,32,0
953,4.521511017838405,23,0
838,4.384248210023866,0,0
4,4.25,0,0
584,4.664383561643835,25,1
551,4.473684210526316,40,0
612,4.859477124183006,28,0
627,4.456140350877193,19,0
253,4.533596837944664,4,0
735,4.696598639455782,5,0
953,4.5771248688352575,42,0
1099,4.465878070973613,59,2
609,4.12807881773399,25,1
779,4.748395378690629,30,0
453,4.547461368653422,63,0
2081,4.272465160980298,19,0
1079,4.946246524559777,43,0
1265,4.977075098814229,60,0
889,4.479190101237346,76,0
195,4.661538461538462,3,0
162,4.691358024691358,2,0
1242,4.4412238325281805,46,1
2000,4.348,121,0
665,4.512781954887218,17,0
766,4.101827676240209,11,0
511,4.737769080234834,40,0
851,4.834312573443008,15,0
490,4.277551020408163,16,0
154,5.597402597402597,20,0
1227,4.715566422167889,50,0
716,4.744413407821229,5,0
322,4.478260869565218,42,0
474,4.069620253164557,20,0
783,5.056194125159642,12,0
1354,4.259231905465288,15,0
1658,4.214716525934861,60,0
824,4.798543689320389,164,0
1167,4.548414738646101,39,0
1545,4.262135922330097,56,0
1112,4.252697841726619,44,0
2299,3.899956502827316,43,2
1397,4.340730136005726,38,0
1047,4.2683858643744035,10,2
676,4.4674556213017755,47,0
359,4.671309192200557,55,0
379,4.984168865435357,18,0
761,4.21419185282523,4,2
768,4.6328125,18,0
1213,4.667765869744435,70,0
483,4.58592132505176,11,0
826,4.62953995157385,100,0
473,4.456659619450317,26,1
1259,4.892772041302621,26,1
1315,4.329277566539924,38,4
391,4.641943734015345,8,1
1156,4.551903114186851,24,0
625,4.5568,26,0
287,4.024390243902439,37,1
195,5.092307692307692,12,0
358,4.762569832402234,31,0
3399,4.41747572815534,321,0
612,4.665032679738562,8,1
762,4.65748031496063,46,0
956,4.53765690376569,52,0
408,4.901960784313726,50,0
2646,4.412320483749055,179,0
751,4.639147802929427,14,0
900,4.062222222222222,16,4
862,4.703016241299304,11,0
741,4.6396761133603235,19,0
1073,4.55358807082945,22,0
417,4.995203836930456,14,0
907,4.004410143329658,12,0
937,4.812166488794023,64,5
1683,4.56387403446227,64,0
20985,4.564974982130093,1909,26
1137,4.438874230430959,0,0
1140,5.214912280701754,39,0
720,4.641666666666667,10,0
756,4.747354497354498,19,0
1372,4.5,31,0
614,4.473941368078176,27,0
831,4.156438026474127,16,4
568,4.241197183098592,26,0
1950,4.647179487179487,67,0
1076,4.129182156133829,14,0
908,4.595814977973569,29,0
881,4.557321225879682,119,0
1212,4.723597359735973,19,0
575,4.907826086956522,37,0
