class,allCaps,adjectives,superlatives,avgSentenceLen,neu,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
0,3.0,73.0,1.0,190.9090909090909,0.0,0.9707,0.094,0.857,0.049,0.008520710059171597
0,0.0,38.0,0.0,156.28571428571428,0.0,-0.9982,0.057,0.693,0.251,0.013630168105406633
0,2.0,66.0,3.0,164.4,0.0,-0.9701,0.051,0.856,0.093,0.003628666465074085
0,3.0,13.0,0.0,292.0,0.0,-0.6249,0.042,0.885,0.073,0.009393680614859094
0,0.0,96.0,1.0,219.65384615384616,0.0,-0.9972,0.059,0.805,0.136,0.008691117677733357
0,0.0,75.0,0.0,90.44444444444444,0.0,0.9944,0.091,0.886,0.023,0.008978403300169862
0,0.0,45.0,1.0,140.9047619047619,0.0,0.9673,0.084,0.887,0.029,0.010023387905111928
0,5.0,70.0,2.0,247.92857142857142,0.0,-0.5473,0.068,0.855,0.077,0.006578947368421052
0,0.0,33.0,0.0,225.125,0.0,0.9633,0.131,0.817,0.052,0.0033112582781456954
0,3.0,83.0,0.0,196.68965517241378,0.0,-0.9981,0.062,0.783,0.155,0.004525674499564839
0,0.0,42.0,2.0,240.55555555555554,0.0,-0.882,0.079,0.82,0.101,0.007332722273143905
0,0.0,49.0,0.0,165.33333333333334,0.0,0.8677,0.062,0.899,0.039,0.005661005661005661
0,0.0,47.0,2.0,156.36363636363637,0.0,0.9974,0.144,0.832,0.024,0.008665511265164644
0,0.0,87.0,1.0,126.80952380952381,0.0,0.9958,0.123,0.814,0.064,0.003538175046554935
0,3.0,48.0,0.0,131.88888888888889,0.0,0.9692,0.071,0.917,0.012,0.004173622704507512
0,0.0,49.0,1.0,117.4090909090909,0.0,-0.9929,0.109,0.704,0.187,0.008438818565400843
0,7.0,48.0,0.0,167.16666666666666,0.0,0.4106,0.085,0.836,0.079,0.007590759075907591
0,0.0,37.0,1.0,94.33333333333333,0.0,0.9045,0.07,0.897,0.034,0.0013774104683195593
0,0.0,102.0,0.0,155.61764705882354,0.0,0.8998,0.113,0.796,0.091,0.00732119391777736
0,2.0,137.0,2.0,153.97142857142856,0.0,0.9985,0.165,0.804,0.031,0.00183452577508714
0,1.0,126.0,1.0,139.42857142857142,0.0,-0.6619,0.074,0.847,0.079,0.003558115892917655
0,29.0,171.0,4.0,122.04477611940298,0.0,0.9982,0.147,0.76,0.093,0.010907768755302388
0,0.0,68.0,1.0,152.125,0.0,0.974,0.121,0.804,0.075,0.0021756867011150393
0,6.0,121.0,5.0,91.23529411764706,0.0,0.9993,0.153,0.812,0.035,0.0060471037555697
0,1.0,130.0,2.0,131.03389830508473,0.0,0.978,0.12,0.778,0.102,0.0070485710624118925
0,0.0,35.0,1.0,168.6,0.0,0.9819,0.13,0.851,0.019,0.01884570082449941
0,0.0,83.0,4.0,127.35135135135135,0.0,0.0768,0.061,0.876,0.063,0.006529064869418702
0,1.0,108.0,1.0,185.6206896551724,0.0,0.9913,0.104,0.842,0.054,0.00866678959985248
0,0.0,59.0,0.0,119.52777777777777,0.0,-0.5859,0.049,0.895,0.056,0.006454587367450438
0,0.0,142.0,2.0,139.46,0.0,-0.9993,0.077,0.753,0.169,0.007099247479767145
0,3.0,54.0,1.0,112.09677419354838,0.0,0.9901,0.134,0.797,0.069,0.00541002277904328
0,4.0,105.0,4.0,125.19565217391305,0.0,0.9992,0.177,0.765,0.058,0.005847953216374269
0,2.0,82.0,3.0,161.33333333333334,0.0,0.5789,0.074,0.862,0.065,0.0034871794871794873
0,1.0,72.0,2.0,148.16,0.0,0.9369,0.107,0.81,0.084,0.004021447721179625
0,2.0,54.0,2.0,131.76190476190476,0.0,-0.9727,0.067,0.832,0.101,0.0017908309455587394
0,0.0,37.0,0.0,294.3333333333333,0.0,0.8519,0.1,0.833,0.067,0.0067605633802816905
0,3.0,116.0,6.0,130.925,0.0,0.998,0.142,0.808,0.049,0.006056018168054504
0,1.0,51.0,1.0,98.88461538461539,0.0,0.3714,0.051,0.905,0.044,0.004203286205578907
0,1.0,22.0,3.0,93.05882352941177,0.0,0.9936,0.146,0.841,0.014,0.004380475594493116
0,0.0,39.0,1.0,138.8095238095238,0.0,0.8589,0.051,0.921,0.029,0.0064516129032258064
0,0.0,23.0,0.0,160.1,0.0,-0.9763,0.044,0.831,0.125,0.004337050805452293
0,0.0,195.0,7.0,98.93693693693693,0.0,0.9998,0.176,0.751,0.073,0.003696357735304724
0,2.0,58.0,1.0,163.2,0.0,0.9938,0.135,0.808,0.057,0.008830694275274055
0,1.0,47.0,0.0,228.28571428571428,0.0,0.9789,0.125,0.867,0.008,0.011808576755748913
0,1.0,45.0,0.0,167.22222222222223,0.0,-0.8126,0.081,0.824,0.095,0.01023778071334214
