,Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,class,allCaps,adjectives,superlatives,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
124,106,4.4245283018867925,2,0,0,1.0,11.0,0.0,97.33333333333333,0.2263,0.111,0.805,0.085,0.003395585738539898
125,1154,4.668110918544193,37,0,0,2.0,139.0,5.0,169.12820512820514,0.4396,0.091,0.825,0.084,0.0034669882423876996
126,1187,4.371524852569503,36,0,0,1.0,118.0,1.0,133.125,0.9982,0.104,0.872,0.024,0.006369426751592357
127,164,4.701219512195122,0,0,0,2.0,17.0,0.0,79.08333333333333,0.7691,0.079,0.898,0.022,0.004166666666666667
128,765,4.371241830065359,12,0,0,0.0,78.0,0.0,229.38888888888889,0.9971,0.134,0.835,0.031,0.004582730342498794
129,2765,4.843037974683544,82,0,0,4.0,296.0,4.0,210.85897435897436,0.9986,0.103,0.832,0.065,0.004115475397930158
130,276,4.416666666666667,2,0,0,2.0,24.0,0.0,756.0,0.9618,0.085,0.909,0.005,0.0026437541308658294
131,469,4.3773987206823035,0,0,0,1.0,49.0,3.0,633.5,0.9969,0.181,0.776,0.043,0.0015766653527788726
132,353,4.90084985835694,80,0,0,1.0,41.0,3.0,193.9090909090909,0.9858,0.121,0.86,0.019,0.0027998133457769483
133,854,4.899297423887588,48,0,0,1.0,72.0,0.0,269.2105263157895,-0.9986,0.052,0.786,0.162,0.003117692907248636
134,447,4.268456375838927,10,0,0,0.0,31.0,0.0,99.16666666666667,0.9563,0.058,0.924,0.018,0.007906783187682065
135,130,7.261538461538461,0,0,0,1.0,15.0,2.0,362.6666666666667,-0.8807,0.012,0.895,0.093,0.01652892561983471
136,385,4.587012987012987,18,0,0,0.0,43.0,2.0,222.2,0.9899,0.117,0.865,0.018,0.0017929179740026895
137,695,4.687769784172662,34,0,0,2.0,65.0,2.0,306.84615384615387,-0.5003,0.1,0.797,0.104,0.007998000499875032
138,1145,5.019213973799126,52,0,0,2.0,148.0,5.0,288.75,0.9755,0.097,0.837,0.065,0.003883215878038257
139,106,5.7075471698113205,2,0,0,1.0,11.0,0.0,119.83333333333333,-0.34,0.048,0.9,0.052,0.017955801104972375
140,1302,4.5545314900153615,15,0,0,1.0,120.0,0.0,191.39473684210526,0.9599,0.094,0.83,0.076,0.005471956224350205
141,60,4.383333333333334,0,0,0,0.0,5.0,0.0,81.5,0.765,0.121,0.879,0.0,0.0060790273556231
142,2055,4.108515815085158,68,0,0,11.0,173.0,5.0,142.9189189189189,0.4578,0.05,0.899,0.051,0.005352615269039346
143,1023,4.492668621700878,24,0,0,2.0,113.0,0.0,313.27777777777777,-0.0333,0.064,0.866,0.07,0.005127298444130127
144,936,4.636752136752137,25,0,0,4.0,110.0,1.0,165.75,0.7091,0.064,0.874,0.062,0.0026246719160104987
145,1024,5.0,56,0,0,7.0,129.0,3.0,185.23529411764707,0.9763,0.069,0.888,0.043,0.006161137440758294
146,727,4.5405777166437415,13,0,0,0.0,57.0,0.0,289.2857142857143,0.9957,0.128,0.816,0.055,0.0017232890201870998
147,1458,4.750342935528121,68,1,0,1.0,160.0,4.0,222.6578947368421,-0.9788,0.111,0.77,0.119,0.004000941397975994
148,417,4.731414868105516,9,0,0,1.0,35.0,0.0,301.875,-0.9423,0.011,0.922,0.066,0.0033030553261767133
149,672,4.903273809523808,16,0,0,6.0,64.0,0.0,286.2142857142857,-0.786,0.063,0.867,0.07,0.002736999253545658
150,1153,4.810060711188204,121,0,0,10.0,129.0,3.0,133.05769230769232,0.9754,0.083,0.861,0.056,0.008896541828095853
151,1970,4.83502538071066,38,1,0,0.0,269.0,7.0,188.7258064516129,0.9993,0.099,0.875,0.027,0.008671994558748512
152,1024,4.6787109375,43,0,0,1.0,83.0,0.0,346.2352941176471,-0.4869,0.088,0.829,0.083,0.0027109454422229754
153,102,4.735294117647058,0,1,0,0.0,13.0,0.0,118.4,0.8858,0.121,0.879,0.0,0.0016778523489932886
154,768,4.442708333333333,17,1,0,0.0,73.0,1.0,246.8235294117647,-0.8686,0.064,0.86,0.076,0.002849002849002849
155,671,4.667660208643816,28,0,0,3.0,77.0,1.0,156.2,-0.9183,0.055,0.878,0.067,0.002291825821237586
156,427,4.5550351288056214,0,0,0,0.0,37.0,0.0,170.78571428571428,-0.1697,0.041,0.904,0.055,0.005407653910149751
157,510,4.73921568627451,2,0,0,0.0,54.0,2.0,164.27777777777777,0.9949,0.133,0.84,0.028,0.0053817692566431215
158,929,4.78686759956943,8,1,0,3.0,116.0,4.0,202.25925925925927,0.9782,0.099,0.828,0.073,0.002733734281027884
159,1324,4.3897280966767385,74,0,0,2.0,110.0,1.0,248.41379310344828,-0.9972,0.058,0.838,0.105,0.00165929203539823
160,714,4.57703081232493,15,0,0,3.0,64.0,0.0,251.0625,0.9768,0.062,0.918,0.02,0.004712301587301587
161,823,4.640340218712028,18,0,0,1.0,76.0,2.0,203.69565217391303,0.4847,0.073,0.858,0.068,0.004461440407903123
162,802,4.1483790523690764,19,0,0,0.0,63.0,1.0,148.96428571428572,0.7845,0.034,0.945,0.022,0.0035731300619342545
163,855,4.488888888888889,4,0,0,2.0,82.0,3.0,264.27777777777777,0.9922,0.089,0.869,0.042,0.0041893590280687055
164,1236,4.689320388349515,84,0,0,5.0,109.0,2.0,186.42105263157896,0.997,0.095,0.869,0.037,0.001404297149276787
165,1292,4.4295665634674934,18,0,0,4.0,132.0,3.0,253.35714285714286,0.9932,0.091,0.862,0.047,0.0025284450063211127
166,1348,4.195845697329377,32,0,0,1.0,120.0,4.0,227.80645161290323,0.886,0.073,0.857,0.07,0.0023970671178793006
167,331,5.1299093655589125,12,0,0,1.0,30.0,1.0,256.875,-0.2481,0.073,0.843,0.085,0.0009699321047526673
168,753,4.710491367861887,68,0,0,0.0,82.0,2.0,362.0,-0.927,0.029,0.922,0.049,0.003214695752009185
169,2415,4.122981366459627,30,5,0,5.0,200.0,6.0,149.57831325301206,-0.9901,0.068,0.848,0.084,0.003040729775146035
170,1381,4.795800144822592,13,0,0,5.0,150.0,0.0,261.258064516129,0.9866,0.081,0.865,0.055,0.0051660516605166054
171,1190,4.201680672268908,26,5,0,2.0,105.0,1.0,270.60869565217394,0.9941,0.078,0.886,0.036,0.004482869036183158
172,1260,4.537301587301587,15,0,0,4.0,106.0,2.0,220.4375,0.8394,0.047,0.924,0.028,0.008468595624558928
173,320,5.353125,10,0,0,1.0,48.0,2.0,414.4,-0.9545,0.054,0.864,0.082,0.005780346820809248
174,778,4.33547557840617,0,0,0,0.0,79.0,2.0,183.30434782608697,0.9975,0.112,0.865,0.023,0.0025955639452571967
175,772,4.8316062176165815,27,0,0,2.0,78.0,1.0,412.72727272727275,0.863,0.066,0.876,0.058,0.0013186813186813187
176,327,4.7889908256880735,1,0,0,5.0,37.0,0.0,128.8,-0.9573,0.041,0.864,0.094,0.0041109969167523125
177,460,4.767391304347826,0,0,0,1.0,46.0,0.0,379.85714285714283,0.8873,0.104,0.814,0.082,0.00300187617260788
178,1182,4.713197969543146,21,0,0,4.0,137.0,1.0,220.90322580645162,0.5745,0.069,0.867,0.064,0.007561436672967864
179,1692,4.49113475177305,26,5,0,5.0,140.0,2.0,181.0,0.9734,0.054,0.909,0.037,0.003804692454026633
180,885,4.734463276836158,34,0,0,2.0,100.0,3.0,425.3333333333333,0.9968,0.122,0.843,0.034,0.002150537634408602
181,934,4.926124197002141,34,0,0,0.0,109.0,3.0,187.33333333333334,0.9949,0.103,0.876,0.021,0.0008851124092759781
182,1039,4.82483156881617,65,0,0,1.0,167.0,2.0,254.625,0.9982,0.112,0.857,0.031,0.0021193348549070753
183,1193,4.3763621123218766,33,1,0,1.0,114.0,3.0,223.44827586206895,0.9833,0.085,0.855,0.06,0.0029194837123540257
184,1126,4.841918294849023,20,0,0,0.0,110.0,3.0,333.5,0.8575,0.062,0.887,0.051,0.0038893044128646224
185,982,4.739307535641548,20,0,0,4.0,117.0,2.0,218.5,0.9891,0.082,0.887,0.031,0.002805049088359046
186,689,4.862119013062411,15,0,0,0.0,84.0,2.0,163.48,0.7568,0.076,0.86,0.064,0.0021897810218978104
187,315,5.231746031746032,15,0,0,0.0,41.0,0.0,499.5,0.9113,0.085,0.88,0.034,0.0024987506246876563
188,495,4.8747474747474735,28,0,0,0.0,44.0,2.0,267.72727272727275,-0.998,0.025,0.794,0.181,0.001692047377326565
