allCaps,adjectives,superlatives,class,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
38.0,256.0,3.0,1,225.0566037735849,-0.9907,0.08,0.822,0.097,0.007742902339522105
25.0,78.0,1.0,1,221.5,0.9834,0.104,0.844,0.052,0.010259698621352998
0.0,46.0,1.0,1,200.55555555555554,0.9564,0.118,0.825,0.057,0.002197802197802198
36.0,25.0,0.0,1,291.25,0.9538,0.108,0.866,0.026,0.007698887938408896
13.0,213.0,1.0,1,180.09677419354838,-0.9991,0.103,0.74,0.157,0.002843686128143606
5.0,39.0,0.0,1,137.64705882352942,0.3933,0.084,0.841,0.075,0.007623888182973317
4.0,57.0,0.0,1,196.72222222222223,0.9846,0.099,0.854,0.048,0.004479283314669653
6.0,327.0,0.0,1,183.19565217391303,0.7006,0.091,0.825,0.083,0.006238964096527369
8.0,162.0,8.0,1,216.78787878787878,-0.9974,0.085,0.778,0.138,0.003193557345181894
7.0,94.0,3.0,1,154.0,0.9863,0.105,0.839,0.055,0.0033318525099955577
6.0,86.0,1.0,1,134.53846153846155,0.9846,0.098,0.84,0.063,0.0034007179293406384
67.0,557.0,7.0,1,142.75242718446603,0.9997,0.106,0.84,0.054,0.008089963074857334
0.0,6.0,0.0,1,93.75,0.2682,0.146,0.737,0.117,0.0079155672823219
0.0,15.0,0.0,1,186.0,-0.9624,0.115,0.688,0.197,0.008556149732620321
0.0,10.0,1.0,1,162.5,-0.5803,0.073,0.815,0.112,0.010703363914373088
0.0,7.0,0.0,1,121.33333333333333,0.2263,0.124,0.788,0.088,0.008174386920980926
0.0,8.0,0.0,1,120.83333333333333,-0.7998,0.12,0.712,0.169,0.02051983584131327
0.0,8.0,0.0,1,120.83333333333333,-0.7998,0.12,0.712,0.169,0.02051983584131327
0.0,10.0,1.0,1,162.5,-0.5803,0.073,0.815,0.112,0.010703363914373088
0.0,7.0,0.0,1,121.33333333333333,0.2263,0.124,0.788,0.088,0.008174386920980926
0.0,8.0,0.0,1,120.83333333333333,-0.7998,0.12,0.712,0.169,0.02051983584131327
65.0,533.0,6.0,1,145.2,0.9998,0.105,0.865,0.029,0.008310045594940432
0.0,6.0,0.0,1,109.5,-0.5719,0.031,0.867,0.102,0.013605442176870748
5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
3.0,13.0,0.0,1,146.4,-0.7845,0.028,0.886,0.085,0.010869565217391304
6.0,29.0,1.0,1,177.375,0.9662,0.129,0.844,0.027,0.00558659217877095
0.0,6.0,0.0,1,109.5,-0.5719,0.031,0.867,0.102,0.013605442176870748
5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
0.0,6.0,0.0,1,109.5,-0.5719,0.031,0.867,0.102,0.013605442176870748
5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
5.0,34.0,0.0,1,172.28571428571428,-0.3384,0.092,0.801,0.107,0.012345679012345678
0.0,12.0,0.0,1,110.0,0.1779,0.222,0.633,0.145,0.008849557522123894
106.0,19.0,0.0,1,1252.0,-0.7065,0.0,0.966,0.034,0.12370311252992817
57.0,536.0,6.0,1,135.25714285714287,0.9998,0.099,0.859,0.042,0.010362333959246123
0.0,16.0,0.0,1,109.27272727272727,-0.9164,0.082,0.788,0.129,0.006600660066006601
8.0,14.0,0.0,1,224.75,-0.3167,0.053,0.871,0.077,0.013289036544850499
0.0,3.0,0.0,1,45.0,-0.4939,0.0,0.61,0.39,0.020833333333333332
0.0,0.0,0.0,1,10.0,0.6239,1.0,0.0,0.0,0.0
22.0,51.0,0.0,1,148.53846153846155,0.8466,0.073,0.88,0.047,0.014826175869120654
2.0,3.0,0.0,1,74.66666666666667,-0.7983,0.061,0.73,0.209,0.01327433628318584
52.0,463.0,5.0,1,150.40880503144655,0.9996,0.113,0.823,0.064,0.007064656062796943
0.0,29.0,1.0,1,213.11111111111111,-0.6314,0.037,0.916,0.047,0.006732263076126359
