Article_len,Avg_Word_Len,CountOfNumbers,CountofExclamation,allCaps,adjectives,superlatives,class,avgSentenceLen,sent_overall,sent_pos,sent_neu,sent_neg,spelling_errors
558,4.5448028673835115,47,2,4.0,68.0,0.0,1,94.21212121212122,0.996,0.195,0.694,0.111,0.0028580501746586218
184,4.478260869565218,38,2,8.0,21.0,1.0,1,130.25,0.9078,0.12,0.82,0.061,0.006660323501427212
31,3.9032258064516134,2,0,3.0,5.0,0.0,1,153.0,-0.8805,0.0,0.702,0.298,0.0
79,4.582278481012659,0,1,2.0,16.0,0.0,1,63.857142857142854,-0.8101,0.069,0.794,0.137,0.0
488,4.612704918032787,2,0,6.0,62.0,0.0,1,210.53846153846155,-0.8658,0.08,0.819,0.101,0.006891548784911135
54,4.518518518518519,0,0,3.0,5.0,0.0,1,98.0,0.7184,0.132,0.868,0.0,0.0033783783783783786
37,5.0540540540540535,0,1,3.0,5.0,0.0,1,225.0,0.0,0.0,1.0,0.0,0.017777777777777778
538,4.321561338289963,4,0,7.0,47.0,1.0,1,151.73684210526315,-0.9956,0.047,0.811,0.143,0.006522485410230003
305,4.4,20,0,9.0,31.0,0.0,1,117.71428571428571,0.8484,0.064,0.899,0.036,0.006610576923076923
111,4.45045045045045,2,1,6.0,13.0,1.0,1,100.5,-0.862,0.123,0.7,0.177,0.004918032786885246
66,4.712121212121212,13,2,6.0,7.0,0.0,1,95.0,0.8488,0.132,0.868,0.0,0.02610966057441253
181,4.674033149171271,14,1,24.0,18.0,0.0,1,127.625,-0.8583,0.063,0.823,0.114,0.0058309037900874635
62,3.9032258064516134,0,2,3.0,4.0,0.0,1,75.5,0.3413,0.112,0.799,0.089,0.006514657980456026
25,5.44,0,0,4.0,9.0,0.0,1,81.5,-0.25,0.0,0.923,0.077,0.0
105,5.447619047619049,2,0,0.0,23.0,0.0,1,172.0,-0.9153,0.071,0.751,0.178,0.002886002886002886
611,4.754500818330605,19,0,17.0,79.0,3.0,1,236.2,-0.1997,0.1,0.798,0.101,0.005893909626719057
1184,4.936655405405405,53,0,14.0,154.0,1.0,1,214.84848484848484,-0.2966,0.058,0.893,0.049,0.004625735912531539
1200,5.008333333333334,54,0,23.0,132.0,5.0,1,197.0,-0.9196,0.044,0.903,0.053,0.0098065922092073
5206,4.7938916634652315,188,1,29.0,590.0,8.0,1,175.53179190751445,-0.9386,0.1,0.798,0.102,0.006701098326359832
3449,4.992751522180342,377,0,44.0,431.0,11.0,1,265.54430379746833,0.1685,0.08,0.842,0.078,0.005787201745647739
557,5.012567324955117,23,0,21.0,63.0,4.0,1,226.73333333333332,0.9821,0.087,0.886,0.027,0.007883211678832117
492,4.941056910569106,24,0,14.0,74.0,1.0,1,185.4375,-0.9561,0.063,0.837,0.1,0.007360321177651389
131,5.022900763358779,15,0,12.0,25.0,0.0,1,160.0,0.9569,0.186,0.768,0.046,0.006188118811881188
241,4.6887966804979255,28,0,39.0,36.0,0.0,1,281.6,0.9809,0.142,0.828,0.03,0.005657708628005658
438,4.904109589041097,12,0,11.0,55.0,1.0,1,217.0,0.9796,0.12,0.837,0.044,0.003429878048780488
77,5.662337662337662,5,0,0.0,11.0,1.0,1,179.0,0.4767,0.077,0.871,0.052,0.011131725417439703
152,4.8618421052631575,12,0,0.0,30.0,3.0,1,179.4,0.93,0.156,0.776,0.068,0.0033149171270718232
169,4.9644970414201195,17,0,13.0,22.0,0.0,1,147.0,0.5731,0.107,0.812,0.081,0.006750241080038573
197,4.898477157360406,14,0,11.0,21.0,0.0,1,196.66666666666666,-0.5525,0.065,0.84,0.094,0.005046257359125316
1947,5.057010785824345,85,0,38.0,256.0,3.0,1,225.0566037735849,-0.9907,0.08,0.822,0.097,0.007742902339522105
509,5.0,32,0,25.0,78.0,1.0,1,221.5,0.9834,0.104,0.844,0.052,0.010259698621352998
300,4.98,7,0,0.0,46.0,1.0,1,200.55555555555554,0.9564,0.118,0.825,0.057,0.002197802197802198
204,4.553921568627451,30,0,36.0,25.0,0.0,1,291.25,0.9538,0.108,0.866,0.026,0.007698887938408896
