Article_len,Avg_Word_Len,CountOfNumbers,CountofExclaimation
305,5.481967213114754,131,0
782,4.404092071611253,8,0
909,4.915291529152915,85,0
599,4.729549248747913,33,0
424,4.974056603773585,55,0
1744,4.419724770642202,35,0
1475,4.938305084745763,33,0
531,4.265536723163842,2,1
1783,4.660684240044868,29,0
570,4.614035087719298,9,0
645,4.598449612403101,3,0
1193,4.612740989103101,15,0
572,4.027972027972028,23,1
956,4.700836820083682,15,0
1655,4.77583081570997,35,0
233,4.1931330472103,2,0
1604,4.619077306733167,21,1
903,4.4728682170542635,22,0
1585,4.523028391167192,59,0
1086,4.914364640883978,8,0
1696,4.668632075471698,33,0
1614,4.700123915737299,25,0
661,4.718608169440242,8,0
1008,4.663690476190476,77,0
600,4.55,17,0
1017,4.145526057030482,31,0
584,4.847602739726027,32,0
826,5.105326876513317,44,0
427,4.946135831381733,7,0
1759,4.660602615122229,26,1
446,4.45067264573991,6,0
1392,4.666666666666667,22,0
994,4.566398390342052,16,0
976,4.818647540983607,17,0
1816,4.783039647577093,52,0
381,3.9921259842519685,3,1
1396,4.744269340974212,23,0
384,4.458333333333333,4,0
1351,4.375277572168764,49,0
1333,4.938484621155289,62,0
326,4.895705521472393,6,0
403,4.387096774193548,4,0
2243,5.026749888542131,72,5
1467,4.252215405589639,6,7
1392,5.021551724137931,307,0
36,4.638888888888889,0,1
273,5.194139194139194,20,0
490,4.8061224489795915,0,0
2846,4.599789177793395,132,0
2076,4.157514450867052,38,2
1324,4.586858006042296,17,2
984,4.3638211382113825,9,0
1270,4.252755905511811,31,1
2474,4.291835084882781,67,2
1283,4.9150428682774745,23,1
1151,4.566463944396177,46,1
635,5.028346456692914,103,0
980,4.421428571428572,27,1
734,4.600817438692098,90,0
1121,4.497769848349688,22,0
652,4.550613496932515,6,0
903,4.392026578073089,82,0
230,4.98695652173913,0,0
1194,4.572026800670017,83,0
691,5.092619392185239,3,0
495,5.151515151515151,13,0
488,4.608606557377049,64,0
341,4.392961876832844,9,1
1564,4.18542199488491,18,1
1705,4.913196480938416,45,2
72,4.638888888888889,0,0
453,4.900662251655629,2,0
877,4.9372862029646525,11,0
1574,4.31702668360864,120,0
1235,4.292307692307692,30,0
941,4.956429330499469,72,0
1258,5.080286168521463,40,1
855,4.932163742690059,8,0
146,4.945205479452055,9,0
1042,3.8982725527831095,44,0
1387,4.42393655371305,60,0
371,5.39622641509434,27,0
852,4.2981220657277,10,5
858,4.927738927738928,13,0
784,5.010204081632653,32,0
1168,4.880993150684931,89,0
965,5.2424870466321245,39,0
733,4.2551159618008185,10,0
1178,4.461799660441426,53,0
391,4.626598465473146,22,1
803,4.75840597758406,38,0
1516,4.822559366754618,50,0
866,4.810623556581986,35,0
705,4.546099290780142,6,0
1302,4.713517665130568,4,0
348,4.709770114942529,22,1
1224,4.669117647058823,64,0
1039,5.02213666987488,45,0
937,4.4557097118463185,21,0
1090,4.864220183486238,8,0
1135,4.918942731277533,20,0
712,4.349719101123595,0,0
1054,4.460151802656546,42,2
1218,5.041871921182266,24,0
1118,4.867620751341682,32,0
511,4.677103718199609,24,0
1446,4.3029045643153525,44,1
261,5.10727969348659,35,0
1293,4.607115235885537,71,0
917,3.9738276990185386,39,3
637,4.9042386185243325,23,0
76,4.802631578947368,11,0
1237,4.200485044462409,25,0
863,4.838933951332561,12,0
1204,4.670265780730897,5,1
416,5.168269230769231,32,0
1201,4.721065778517902,43,0
102,4.735294117647059,10,0
789,4.693282636248416,95,0
896,4.154017857142857,20,0
679,4.581737849779087,12,0
457,4.737417943107221,2,0
569,4.333919156414763,35,0
212,5.30188679245283,0,0
1443,4.950796950796951,72,0
343,4.690962099125365,78,0
819,4.622710622710622,10,0
1278,5.022691705790297,35,0
5958,4.616985565626049,152,5
1309,4.625668449197861,75,0
827,4.877871825876663,160,0
882,4.865079365079365,60,0
1626,4.727552275522755,49,0
1099,4.342129208371246,6,4
825,3.901818181818182,45,2
155,5.245161290322581,4,0
315,5.53015873015873,26,0
1083,4.444136657433057,25,0
252,4.904761904761905,2,0
419,4.5178997613365155,17,0
254,4.645669291338582,2,0
208,4.975961538461538,7,0
131,4.534351145038168,1,0
20,4.5,0,0
745,5.036241610738255,16,0
885,4.691525423728813,19,0
1281,4.579234972677596,56,0
924,4.783549783549783,6,0
602,4.451827242524917,14,0
2487,3.9955770004020907,80,1
894,4.4205816554809845,24,0
1053,4.560303893637227,25,0
477,4.49475890985325,4,1
1339,4.719940253920837,30,0
5,3.8,0,0
896,4.852678571428571,7,0
727,4.452544704264099,20,2
1099,4.456778889899909,10,0
876,4.073059360730594,40,0
874,4.7082379862700225,40,0
577,4.561525129982669,26,0
52,4.0576923076923075,0,0
967,4.8800413650465355,27,0
1278,3.996870109546166,35,0
1732,4.508660508083141,34,0
1260,4.924603174603175,30,0
1628,4.124692874692875,36,0
571,4.309982486865149,10,1
938,4.255863539445629,23,0
1256,4.8550955414012735,12,0
1437,4.654140570633264,19,0
2140,4.703271028037383,104,0
950,5.029473684210526,60,0
697,4.956958393113343,0,0
517,4.601547388781431,106,0
644,4.788819875776397,57,0
718,4.096100278551532,24,2
733,3.9959072305593453,21,1
1383,4.77295733911786,21,0
774,4.6757105943152455,54,0
517,4.411992263056093,24,0
1224,4.591503267973856,7,4
603,4.769485903814262,20,0
159,4.09433962264151,0,0
869,4.200230149597238,6,4
387,4.844961240310077,20,0
1014,4.995069033530572,68,0
1078,4.122448979591836,19,0
1043,3.8437200383509107,19,0
1613,3.9094854308741476,25,1
1733,5.174264281592614,41,1
215,4.669767441860465,14,0
912,5.109649122807017,5,0
1133,3.736098852603707,21,0
1159,4.227782571182053,33,0
877,4.498289623717218,8,1
893,4.471444568868981,8,1
1447,4.3794056668970285,102,0
335,4.704477611940298,7,0
1214,4.787479406919275,57,0
419,4.957040572792363,13,0
582,4.668384879725086,31,0
1081,4.493061979648473,74,0
2005,5.09426433915212,51,4
276,4.695652173913044,19,0
1756,4.640660592255125,57,2
1332,4.546546546546547,60,0
1289,4.834755624515128,45,0
677,4.571639586410635,4,0
436,4.025229357798165,6,0
1947,4.591679506933744,126,0
6218,4.609681569636539,161,3
1233,4.452554744525547,63,0
1558,3.9338896020539154,9,0
229,4.6593886462882095,2,0
760,5.0131578947368425,4,4
84,4.214285714285714,0,0
296,4.35472972972973,5,0
777,4.8622908622908625,129,0
843,4.882562277580071,4,0
820,4.780487804878049,11,2
835,4.839520958083832,7,0
893,4.311310190369541,39,0
60,4.6,13,1
1108,4.646209386281589,74,0
430,5.334883720930232,54,0
433,5.2078521939953815,9,0
670,4.444776119402985,27,0
1022,4.410958904109589,14,0
782,4.016624040920716,33,3
773,4.48124191461837,19,1
935,4.694117647058824,29,0
825,4.489696969696969,4,0
48,3.5833333333333335,3,0
1315,4.845627376425855,7,0
932,4.587982832618025,22,0
5327,5.064952130655153,1517,6
1083,3.7349953831948293,76,0
1008,4.1726190476190474,26,0
1412,4.80028328611898,55,0
518,4.555984555984556,21,0
2396,4.862687813021703,376,2
1383,4.814895155459147,157,0
290,4.358620689655172,9,0
615,4.611382113821138,4,0
1500,4.685333333333333,20,0
1580,4.786075949367088,239,3
643,4.712286158631415,6,0
982,4.852342158859471,9,0
1080,4.169444444444444,9,17
284,4.23943661971831,2,0
441,4.417233560090703,32,0
1015,4.470935960591133,34,0
920,4.653260869565218,16,0
986,4.31947261663286,12,0
486,4.991769547325103,9,0
3063,4.550114267058439,341,2
904,4.838495575221239,14,0
533,4.969981238273921,40,0
650,5.150769230769231,153,0
1067,4.613870665417057,10,0
466,5.416309012875536,20,0
732,4.628415300546448,58,0
1072,4.225746268656716,33,1
317,4.476340694006309,0,0
289,4.726643598615917,2,0
681,4.572687224669603,9,0
878,4.175398633257403,12,0
283,4.798586572438163,0,0
673,4.842496285289747,36,0
